player_id,player_name,player_display_name,team_id,team_name,league_name,season_id,season_name,position_code,position_name,stat_minutes_played_total,accurate_passes_%,aerials_won,blocked_shots,cleansheets,goals,key_passes,passes,player_age,shots,successful_dribbles,tackles
95860,Rachid Ghezzal,Rachid Ghezza,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,attacker,Attacker,148.0,79.17,3.040540540540541,,4.0,,0.6081081081081081,43.78378378378379,33.267624914442166,1.8243243243243243,1.2162162162162162,3.040540540540541
523939,Orel Mangala,Orel Mangala,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,midfielder,Midfielder,187.0,89.76,0.48128342245989303,0.48128342245989303,2.0,,1.4438502673796794,61.12299465240642,27.411362080766597,1.4438502673796794,1.4438502673796794,2.406417112299465
37647009,Endrick Felipe Moreira de Sousa,Endrick,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,attacker,Attacker,705.0,75.79,0.12765957446808512,,3.0,0.3829787234042553,2.042553191489362,24.25531914893617,19.069130732375086,3.829787234042553,3.191489361702128,0.5106382978723405
188444,Nicolás Alejandro Tagliafico,Nicolás Tagliafico,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,defender,Defender,1297.0,85.69,1.5265998457979955,0.27756360832690824,7.0,,0.9020817270624518,46.56129529683886,32.955509924709105,1.0408635312259058,0.27756360832690824,1.8735543562066308
29313248,Abner Vinicius Da Silva Santos,Abner,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,defender,Defender,1527.0,84.39,0.4715127701375246,0.1768172888015717,10.0,0.1768172888015717,0.8840864440078585,38.89980353634578,25.218343600273784,0.825147347740668,0.412573673870334,1.237721021611002
27081112,Tanner Tessmann,Tanner Tessmann,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,midfielder,Midfielder,1815.0,86.05,1.140495867768595,0.5454545454545454,12.0,0.04958677685950413,0.5454545454545454,51.17355371900827,23.890485968514717,1.2396694214876034,0.4462809917355372,1.3884297520661157
96122,Corentin Tolisso,Corentin Tolisso,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,midfielder,Midfielder,1897.0,84.42,1.9926199261992619,0.2846599894570374,11.0,0.33210332103321033,1.3758566157090142,51.476014760147606,31.033538672142367,1.9451765946230892,0.18977332630469163,1.518186610437533
24469162,Pavel Šulc,Pavel Sulc,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,attacker,Attacker,1348.0,74.53,0.8679525222551929,,12.0,0.6676557863501484,1.201780415430267,21.498516320474778,24.62696783025325,2.6706231454005938,1.0014836795252227,1.4020771513353116
37597737,Afonso Bastardo Moreira,Afonso Moreira,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,midfielder,Midfielder,1089.0,82.57,0.4132231404958678,,10.0,0.1652892561983471,1.7355371900826446,27.02479338842975,20.407939767282684,1.9008264462809916,1.2396694214876034,1.8181818181818183
25087,Hans Hateboer,Hans Hateboer,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,midfielder,Midfielder,665.0,86.63,0.9473684210526315,0.13533834586466167,7.0,,0.13533834586466167,44.526315789473685,31.59753593429158,0.81203007518797,,1.62406015037594
62374,Clinton Mukoni Mata Pedro Lourenço,Clinton Mata,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,defender,Defender,2206.0,90.59,1.2647325475974616,0.9383499546690843,11.0,,0.08159564823209428,59.850407978241165,32.76933607118412,0.12239347234814144,0.3671804170444243,1.4279238440616502
98874,Moussa Niakhaté,Moussa Niakhaté,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,defender,Defender,2127.0,90.08,2.9619181946403383,0.7616361071932299,13.0,,0.5077574047954866,69.52045133991538,29.437371663244353,0.1692524682651622,0.21156558533145273,1.2270803949224258
37624308,Noah Teye Nartey,Noah Nartey,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,midfielder,Midfielder,487.0,86.67,0.18480492813141686,,4.0,0.3696098562628337,0.5544147843942505,36.03696098562628,19.860369609856264,0.7392197125256674,2.402464065708419,1.4784394250513349
37933263,Khalis Merah,Khalis Merah,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,attacker,Attacker,838.0,86.18,0.10739856801909309,,10.0,,0.9665871121718377,39.630071599045344,18.472279260780287,0.42959427207637235,0.9665871121718377,1.1813842482100239
37787544,Matthias Da Silva,Matthias Da Silva,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,goalkeeper,Goalkeeper,,,,,,,,,17.7056810403833,,,
37756945,Enzo Anthony Honoré Molébé,Enzo Molebe,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,attacker,Attacker,9.0,60.0,,,1.0,,,50.0,17.908281998631075,,,
37614052,Ernest Appiah Nuamah,Ernest Nuamah,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,attacker,Attacker,,,,,,,,,21.78781656399726,,,
37591826,Sael Kumbedi Nseke,Saël Kumbedi,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,defender,Defender,66.0,53.85,1.3636363636363638,,1.0,,,17.727272727272727,20.38877481177276,1.3636363636363638,,1.3636363636363638
13963088,Georges Mikautadze,Georges Mikautadze,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,attacker,Attacker,180.0,84.38,,,2.0,0.5,,16.0,24.788501026694046,5.0,2.5,
37694313,Fallou Fall,Fallou Fall,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,midfielder,Midfielder,,,,,,,,,19.43874058863792,,,
37721623,Teo Barišić,Teo Barišić,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,defender,Defender,,,,,,,,,20.87337440109514,,,
37681302,Alejandro Gomes Rodriguez,Alejandro Gomes Rodríguez,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,attacker,Attacker,,,,,,,,,17.429158110882955,,,
37634183,Achraf Laaziri,Achraf Laâziri,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,defender,Defender,,,,,,,,,22.105407255304584,,,
37590635,Malick Martin Fofana,Malick Fofana,79,Olympique Lyonnais,Ligue 1,25651,2025/2026,attacker,Attacker,743.0,79.9,,,5.0,0.24226110363391656,1.0901749663526246,25.31628532974428,20.3750855578371,2.180349932705249,0.9690444145356663,1.332436069986541
32390,Ulisses Alexandre Garcia Lopes,Ulisses Garcia,44,Olympique Marseille,Ligue 1,25651,2025/2026,defender,Defender,211.0,91.67,0.4265402843601896,0.8530805687203792,1.0,,0.4265402843601896,35.829383886255926,29.593429158110883,0.8530805687203792,0.4265402843601896,1.2796208530805686
130063,Pol Mikel Lirola Kosok,Pol Lirola,44,Olympique Marseille,Ligue 1,25651,2025/2026,defender,Defender,31.0,83.33,11.612903225806452,,1.0,,2.903225806451613,34.83870967741935,28.005475701574266,,,
37729865,Pladi N'Zinga Pambani,Pladi N'Zinga Pambani,44,Olympique Marseille,Ligue 1,25651,2025/2026,defender,Defender,,,,,,,,,18.414784394250514,,,
512560,Michael Amir Murillo Bermudez,Amir Murillo,44,Olympique Marseille,Ligue 1,25651,2025/2026,defender,Defender,988.0,86.01,0.9109311740890689,0.18218623481781376,6.0,0.18218623481781376,1.0020242914979756,44.27125506072874,29.508555783709788,0.8198380566801619,0.728744939271255,1.9129554655870444
37619977,Tochukwu Nadi,Tochukwu Nnadi,44,Olympique Marseille,Ligue 1,25651,2025/2026,midfielder,Midfielder,26.0,100.0,,,2.0,,,31.153846153846153,22.127310061601644,,,
38210464,Emmanuel Israel Ange Lago,Emmanuel Israel Ange Lago,44,Olympique Marseille,Ligue 1,25651,2025/2026,attacker,Attacker,,,,,,,,,20.632443531827516,,,
37784434,Tadjidine Mmadi,Tadjidine Mmadi,44,Olympique Marseille,Ligue 1,25651,2025/2026,midfielder,Midfielder,14.0,80.0,6.428571428571428,,1.0,,6.428571428571428,64.28571428571429,18.45311430527036,,,6.428571428571428
13171199,Leonardo Julián Balerdi Rossa,Leonardo Balerdi,44,Olympique Marseille,Ligue 1,25651,2025/2026,defender,Defender,1460.0,92.44,1.4794520547945205,0.5547945205479452,4.0,,0.24657534246575344,70.95205479452055,26.55167693360712,0.678082191780822,0.3082191780821918,2.1575342465753424
29328428,Igor Guilherme Barbosa da Paixão,Igor Paixão,44,Olympique Marseille,Ligue 1,25651,2025/2026,midfielder,Midfielder,1539.0,82.48,0.935672514619883,0.11695906432748537,8.0,0.29239766081871343,1.461988304093567,32.046783625730995,25.130732375085557,2.39766081871345,1.1111111111111112,1.2280701754385963
95696,Geoffrey Kondogbia,Geoffrey Kondogbia,44,Olympique Marseille,Ligue 1,25651,2025/2026,midfielder,Midfielder,595.0,87.27,1.361344537815126,0.7563025210084033,4.0,,0.3025210084033614,65.34453781512605,32.49555099247091,0.6050420168067228,0.9075630252100841,2.1176470588235294
335521,Facundo Axel Medina,Facundo Medina,44,Olympique Marseille,Ligue 1,25651,2025/2026,defender,Defender,827.0,92.46,0.652962515114873,0.3264812575574365,3.0,,0.10882708585247883,73.5671100362757,26.217659137577,0.3264812575574365,0.21765417170495766,1.305925030229746
537332,Timothy Weah,Timothy Weah,44,Olympique Marseille,Ligue 1,25651,2025/2026,defender,Defender,1871.0,86.33,0.8177445216461785,0.19241047568145375,6.0,0.09620523784072688,1.202565473009086,40.11758417958311,25.478439425051334,1.1063602351683592,0.5772314270443614,1.9722073757349012
129794,Emerson Palmieri dos Santos,Emerson,44,Olympique Marseille,Ligue 1,25651,2025/2026,defender,Defender,1690.0,89.16,0.9053254437869822,0.4260355029585799,8.0,,1.5976331360946745,55.49112426035503,31.033538672142367,0.6390532544378698,0.2662721893491124,1.9171597633136095
37713942,Robinio Vaz,Robinio Vaz,44,Olympique Marseille,Ligue 1,25651,2025/2026,attacker,Attacker,370.0,77.14,1.7027027027027029,,4.0,0.972972972972973,1.4594594594594597,17.027027027027028,18.491444216290212,1.945945945945946,0.4864864864864865,1.2162162162162162
37737405,Darryl Bakola,Darryl Bakola,44,Olympique Marseille,Ligue 1,25651,2025/2026,midfielder,Midfielder,69.0,84.09,2.608695652173913,,2.0,,1.3043478260869565,57.39130434782608,17.70841889117043,3.9130434782608696,1.3043478260869565,2.608695652173913
1494712,Matthew O'Riley,Matt O'Riley,44,Olympique Marseille,Ligue 1,25651,2025/2026,midfielder,Midfielder,762.0,88.29,0.23622047244094488,0.3543307086614173,6.0,0.11811023622047244,1.5354330708661417,52.44094488188976,24.73100616016427,0.8267716535433071,0.23622047244094488,2.1259842519685037
586846,Derek Cornelius,Derek Cornelius,44,Olympique Marseille,Ligue 1,25651,2025/2026,defender,Defender,57.0,85.71,,3.1578947368421053,,,,22.105263157894736,27.720739219712527,,,
37729567,Keyliane Hikram Abdallah,Keyliane Abdallah,44,Olympique Marseille,Ligue 1,25651,2025/2026,attacker,Attacker,,,,,,,,,19.362080766598222,,,
95694,Adrien Rabiot,Adrien Rabiot,44,Olympique Marseille,Ligue 1,25651,2025/2026,midfielder,Midfielder,90.0,95.12,,,,,4.0,41.0,30.368240930869266,1.0,,
527759,Théo Vermot,Théo Vermot,44,Olympique Marseille,Ligue 1,25651,2025/2026,goalkeeper,Goalkeeper,,,,,,,,,28.54757015742642,,,
95776,Neal Maupay,Neal Maupay,44,Olympique Marseille,Ligue 1,25651,2025/2026,attacker,Attacker,13.0,100.0,,,,,,6.923076923076923,29.00205338809035,,,
